stop_id,stop_name,stop_lat,stop_lon
DEST01,PLACE KLEBER,48.58338,7.74586
DEST02,CAF HEYRITZ,48.57367,7.74892
DEST03,GARE CENTRALE,48.58487,7.73498
DEST04,MEDIATHEQUE MALRAUX,48.57444,7.75943
DEST05,ZONE COMMERCIALE VENDENHEIM,48.65515,7.72589
DEST06,PISCINE DE SCHILTIGHEIM,48.61226,7.72955
DEST07,CLINIQUE RHENA,48.57136,7.79379
DEST08,PARC DE L ORANGERIE,48.59164,7.77592
DEST09,HOPITAL HAUTEPIERRE,48.59269,7.70729
DEST10,ZENITH,48.59324,7.68805
DEST11,PARC INNOVATION ILLKIRCH,48.52225,7.73807
DEST12,LE VAISSEAU,48.57265,7.77142
DEST13,STADE DE LA MEINAU,48.56002,7.75334
DEST14,PARC NATUREL URBAIN,48.57002,7.71377
DEST15,ESPACE DJANGO REINHARDT,48.54605,7.76746
