service_id,date,exception_type
21SEPPVSAF-72-Semaine-01,20220415,2
21SEPPVSAF-72-Semaine-01,20220418,2
21SEPTAFF-72-Dimanche-03,20220415,1
21SEPTAFF-72-Dimanche-03,20220418,1
21SEPTAFF-72-Dimanche-03,20220526,1
21SEPTAFF-72-Dimanche-03,20220606,1
21SEPTAFF-72-Semaine-03,20220526,2
21SEPTAFF-72-Semaine-03,20220606,2
22JANPVSB-UPC Bus-Semaine-00,20220415,2
22JANPVSB-UPC Bus-Semaine-00,20220418,2
22JANPVSB-UPC Bus-Semaine-00,20220425,2
22JANPVSB-UPC Bus-Semaine-00,20220426,2
22JANPVSB-UPC Bus-Semaine-00,20220427,2
22JANPVSB-UPC Bus-Semaine-00,20220428,2
22JANPVSB-UPC Bus-Semaine-00,20220429,2
22JANPVSB-UPC Bus-Semaine-00,20220502,2
22JANPVSB-UPC Bus-Semaine-00,20220503,2
22JANPVSB-UPC Bus-Semaine-00,20220504,2
22JANPVSB-UPC Bus-Semaine-00,20220505,2
22JANPVSB-UPC Bus-Semaine-00,20220506,2
22JANPVSB-UPC Bus-Semaine-00,20220509,2
22JANPVSB-UPC Bus-Semaine-00,20220510,2
22JANPVSB-UPC Bus-Semaine-00,20220511,2
22JANPVSB-UPC Bus-Semaine-00,20220512,2
22JANPVSB-UPC Bus-Semaine-00,20220513,2
22JANPVSB-UPC Bus-Semaine-00,20220516,2
22JANPVSB-UPC Bus-Semaine-00,20220517,2
22JANPVSB-UPC Bus-Semaine-00,20220518,2
22JANPVSB-UPC Bus-Semaine-00,20220519,2
22JANPVSB-UPC Bus-Semaine-00,20220520,2
22JANPVSB-UPC Bus-Semaine-00,20220523,2
22JANPVSB-UPC Bus-Semaine-00,20220524,2
22JANPVSB-UPC Bus-Semaine-00,20220525,2
22JANPVSB-UPC Bus-Semaine-00,20220526,2
22JANPVSB-UPC Bus-Semaine-00,20220530,2
22JANPVSB-UPC Bus-Semaine-00,20220531,2
22JANPVSB-UPC Bus-Semaine-00,20220601,2
22JANPVSB-UPC Bus-Semaine-00,20220602,2
22JANPVSB-UPC Bus-Semaine-00,20220603,2
22JANPVSB-UPC Bus-Semaine-00,20220606,2
22JANPVSB-UPC Bus-Semaine-00,20220607,2
22JANPVSB-UPC Bus-Semaine-00,20220608,2
22JANPVSB-UPC Bus-Semaine-00,20220609,2
22JANPVSB-UPC Bus-Semaine-00,20220610,2
