route_id,service_id,trip_id,trip_headsign,direction_id,block_id
88-481,21PVSB-88-Semaine-01,17194035-21PVSB-88-Semaine-01,"Lingolsheim",1,1193398
88-481,21PVSB-88-Semaine-01,17194036-21PVSB-88-Semaine-01,"Lingolsheim",1,1193395
88-481,21PVSB-88-Semaine-01,17194037-21PVSB-88-Semaine-01,"Lingolsheim",1,1193399
88-481,21PVSB-88-Semaine-01,17194038-21PVSB-88-Semaine-01,"Lingolsheim",1,1193397
88-481,21PVSB-88-Semaine-01,17194039-21PVSB-88-Semaine-01,"Lingolsheim",1,1193398
88-481,21PVSB-88-Semaine-01,17194040-21PVSB-88-Semaine-01,"Lingolsheim",1,1193399
88-481,21PVSB-88-Semaine-01,17194041-21PVSB-88-Semaine-01,"Lingolsheim",1,1193396
88-481,21PVSB-88-Semaine-01,17194042-21PVSB-88-Semaine-01,"Lingolsheim",1,1193398
88-481,21PVSB-88-Semaine-01,17194043-21PVSB-88-Semaine-01,"Lingolsheim",1,1193395
88-481,21PVSB-88-Semaine-01,17194044-21PVSB-88-Semaine-01,"Lingolsheim",1,1193399
88-481,21PVSB-88-Semaine-01,17194047-21PVSB-88-Semaine-01,"Montagne Verte",0,1193396
88-481,21PVSB-88-Semaine-01,17194048-21PVSB-88-Semaine-01,"Montagne Verte",0,1193395
88-481,21PVSB-88-Semaine-01,17194050-21PVSB-88-Semaine-01,"Montagne Verte",0,1193399
88-481,21PVSB-88-Semaine-01,17194051-21PVSB-88-Semaine-01,"Montagne Verte",0,1193396
88-481,21PVSB-88-Semaine-01,17194052-21PVSB-88-Semaine-01,"Montagne Verte",0,1193395
88-481,21PVSB-88-Semaine-01,17194053-21PVSB-88-Semaine-01,"Montagne Verte",0,1193398
88-481,21PVSB-88-Semaine-01,17194054-21PVSB-88-Semaine-01,"Montagne Verte",0,1193399
88-481,21PVSB-88-Semaine-01,17194056-21PVSB-88-Semaine-01,"Lingolsheim",1,1193396
88-481,21PVSB-88-Semaine-01,17194057-21PVSB-88-Semaine-01,"Montagne Verte",0,1193397
88-481,21PVSB-88-Semaine-01,17194061-21PVSB-88-Semaine-01,"Lingolsheim",1,1193395
88-481,21PVSB-88-Semaine-01,17194062-21PVSB-88-Semaine-01,"Montagne Verte",0,1193395
88-481,21PVSB-88-Semaine-01,17199446-21PVSB-88-Semaine-01,"Lingolsheim",1,1193396
88-481,21PVSB-88-Samedi-00,17200117-21PVSB-88-Samedi-00,"Ostwald",0,1193695
88-481,21PVSB-88-Samedi-00,17200119-21PVSB-88-Samedi-00,"Ostwald",0,1193694
88-481,21PVSB-88-Samedi-00,17200120-21PVSB-88-Samedi-00,"Ostwald",0,1193695
88-481,21PVSB-88-Samedi-00,17200122-21PVSB-88-Samedi-00,"Ostwald",0,1193694
